country,decade,nkill
58,1,1
130,1,0
160,1,1
78,1,
101,1,
217,1,0
218,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
98,1,0
217,1,0
217,1,0
499,1,
65,1,1
217,1,0
217,1,0
217,1,0
217,1,0
218,1,0
217,1,0
217,1,0
217,1,0
83,1,1
160,1,0
222,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
499,1,
217,1,0
217,1,0
217,1,0
217,1,0
160,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
362,1,1
217,1,0
217,1,0
362,1,7
217,1,0
217,1,0
217,1,0
217,1,1
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
362,1,0
199,1,47
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
102,1,
160,1,0
98,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
185,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,2
83,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,2
362,1,0
217,1,0
217,1,0
30,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
65,1,0
60,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,1
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
160,1,1
58,1,0
11,1,0
217,1,0
217,1,0
217,1,0
217,1,0
11,1,0
110,1,0
217,1,0
217,1,0
83,1,1
101,1,0
217,1,0
217,1,0
65,1,0
217,1,0
217,1,0
217,1,0
160,1,2
217,1,0
96,1,1
217,1,0
217,1,0
217,1,0
30,1,0
11,1,
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
102,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
160,1,36
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,1
217,1,0
217,1,0
209,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
362,1,0
499,1,
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
158,1,1
217,1,0
217,1,0
217,1,0
217,1,0
499,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,1
499,1,0
217,1,0
199,1,
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
362,1,
218,1,0
362,1,
217,1,1
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,1
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,1
217,1,0
217,1,0
217,1,0
11,1,1
218,1,0
217,1,0
217,1,0
217,1,0
11,1,1
160,1,1
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
160,1,0
362,1,
362,1,
217,1,0
217,1,0
102,1,0
102,1,
217,1,0
217,1,0
217,1,0
222,1,0
94,1,
217,1,
102,1,0
102,1,0
217,1,0
217,1,0
102,1,1
30,1,1
94,1,
217,1,0
218,1,0
217,1,0
217,1,0
217,1,0
217,1,0
362,1,
362,1,
217,1,0
217,1,0
217,1,0
217,1,0
217,1,
217,1,0
217,1,1
217,1,1
217,1,0
362,1,
217,1,0
217,1,0
217,1,0
603,1,5
603,1,3
603,1,1
603,1,1
603,1,3
217,1,0
217,1,0
217,1,0
217,1,1
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
30,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,1
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
362,1,
217,1,0
45,1,
83,1,
217,1,1
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,0
217,1,2
217,1,0
217,1,0
26,1,0
217,1,0
217,1,0
217,1,0
78,1,0
